rank_300R,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_clean,CountVectorizer Clean,count,low,logreg_tuned,Logistic Regression Tuned,linear,low,count_clean__logreg_tuned,completed,1.0,1.0,1.0,1.0,1.0,0.009960651397705078,0.0016446113586425781,14.234375,100.0,99.55687191009523,100,99.91137438201906,
2,hash_ultra_light,Hashing Ultra Light,hashing,low,nb_smooth,Naive Bayes Smooth,probabilistic,low,hash_ultra_light__nb_smooth,completed,1.0,1.0,1.0,1.0,1.0,0.00706028938293457,0.0013723373413085938,97.3369140625,100.0,97.92855974197388,100,99.58571194839479,
3,hash_ultra_light,Hashing Ultra Light,hashing,low,logreg_tuned,Logistic Regression Tuned,linear,low,hash_ultra_light__logreg_tuned,completed,0.9866666666666667,0.9866613311991462,0.9866613311991462,0.9871794871794872,0.9866666666666667,0.012984037399291992,0.0017309188842773438,49.5009765625,98.66626650660264,98.82822111129761,100,99.03209080089098,
4,count_clean,CountVectorizer Clean,count,low,sgd_svm,SGD SVM,margin_based,medium,count_clean__sgd_svm,completed,1.0,1.0,1.0,1.0,1.0,0.0055866241455078125,0.0011501312255859375,14.396484375,100.0,99.6095426940918,85,97.67190853881837,
5,hash_ultra_light,Hashing Ultra Light,hashing,low,sgd_svm,SGD SVM,margin_based,medium,hash_ultra_light__sgd_svm,completed,1.0,1.0,1.0,1.0,1.0,0.00639796257019043,0.0016751289367675781,49.6474609375,100.0,98.8681552696228,85,97.52363105392456,
6,tfidf_words_2gram,TF-IDF Words 1-2 grams,tfidf_word,medium,nb_smooth,Naive Bayes Smooth,probabilistic,low,tfidf_words_2gram__nb_smooth,completed,1.0,1.0,1.0,1.0,1.0,0.016047000885009766,0.0019989013671875,105.1806640625,100.0,97.68017063140869,85,97.28603412628175,
7,tfidf_chars_heavy,TF-IDF Characters 3-5,tfidf_char,high,logreg_tuned,Logistic Regression Tuned,linear,low,tfidf_chars_heavy__logreg_tuned,completed,1.0,1.0,1.0,1.0,1.0,0.07270002365112305,0.011384725570678711,228.83203125,100.0,94.30407569885254,70,94.36081513977052,
8,tfidf_chars_heavy,TF-IDF Characters 3-5,tfidf_char,high,sgd_svm,SGD SVM,margin_based,medium,tfidf_chars_heavy__sgd_svm,completed,1.0,1.0,1.0,1.0,1.0,0.040557146072387695,0.010929107666015625,228.978515625,100.0,94.52134035110474,55,92.15426807022095,
